label,cutoff,skr
"A: Fast gen, short memory",1,0.09838852019129848
"A: Fast gen, short memory",2,0.10619185692618115
"A: Fast gen, short memory",3,0.10512518341243435
"A: Fast gen, short memory",4,0.10207356565197605
"A: Fast gen, short memory",5,0.09896852303925602
"A: Fast gen, short memory",6,0.09671206653690129
"A: Fast gen, short memory",7,0.09510716258177329
"A: Fast gen, short memory",8,0.09398755802327759
"A: Fast gen, short memory",9,0.0933225706009332
"A: Fast gen, short memory",10,0.09300781540531222
"A: Fast gen, short memory",11,0.0926439026963722
"A: Fast gen, short memory",12,0.09245575115271436
"A: Fast gen, short memory",13,0.09232022247058205
"A: Fast gen, short memory",14,0.09213736657860475
"A: Fast gen, short memory",15,0.09207334588935491
"A: Fast gen, short memory",16,0.09201456372771508
"A: Fast gen, short memory",17,0.09195930457833253
"A: Fast gen, short memory",18,0.09193561439095001
"A: Fast gen, short memory",19,0.09191795314162984
"A: Fast gen, short memory",20,0.09188793979729358
"A: Fast gen, short memory",21,0.09187143268255982
"A: Fast gen, short memory",22,0.09187480710648054
"A: Fast gen, short memory",23,0.09186428873668817
"A: Fast gen, short memory",24,0.09185828798239862
"A: Fast gen, short memory",25,0.09186832046651335
"A: Fast gen, short memory",26,0.09186226247973091
"A: Fast gen, short memory",27,0.09185911641203992
"A: Fast gen, short memory",28,0.09185868764575156
"A: Fast gen, short memory",29,0.0918603226425135
"A: Fast gen, short memory",30,0.0918581034218808
"A: Fast gen, short memory",31,0.09186540023432668
"A: Fast gen, short memory",32,0.0918637216779524
"A: Fast gen, short memory",33,0.0918650107084203
"A: Fast gen, short memory",34,0.09186333216081502
"A: Fast gen, short memory",35,0.0918614165953493
"A: Fast gen, short memory",36,0.09186074409250371
"A: Fast gen, short memory",37,0.09186271115777413
"A: Fast gen, short memory",38,0.09186271115777413
"A: Fast gen, short memory",39,0.09186271115777413
"A: Fast gen, short memory",40,0.09186271115777413
"A: Fast gen, short memory",41,0.09186271115777413
"A: Fast gen, short memory",42,0.09186271115777413
"A: Fast gen, short memory",43,0.09186271115777413
"A: Fast gen, short memory",44,0.09186271115777413
"A: Fast gen, short memory",45,0.09186271115777413
"A: Fast gen, short memory",46,0.09186271115777413
"A: Fast gen, short memory",47,0.09186271115777413
"A: Fast gen, short memory",48,0.09186271115777413
"A: Fast gen, short memory",49,0.09186271115777413
"A: Fast gen, short memory",50,0.09186271115777413
"A: Fast gen, short memory",51,0.09186271115777413
"A: Fast gen, short memory",52,0.09186271115777413
"A: Fast gen, short memory",53,0.09186271115777413
"A: Fast gen, short memory",54,0.09186271115777413
"A: Fast gen, short memory",55,0.09186271115777413
"A: Fast gen, short memory",56,0.09186271115777413
"A: Fast gen, short memory",57,0.09186271115777413
"A: Fast gen, short memory",58,0.09186271115777413
"A: Fast gen, short memory",59,0.09186271115777413
"A: Fast gen, short memory",60,0.09186271115777413
"B: Moderate gen, moderate memory",1,0.018901005294822224
"B: Moderate gen, moderate memory",2,0.02459116031840707
"B: Moderate gen, moderate memory",3,0.02775755498047523
"B: Moderate gen, moderate memory",4,0.029467890630366502
"B: Moderate gen, moderate memory",5,0.030172485381550346
"B: Moderate gen, moderate memory",6,0.030447282965117617
"B: Moderate gen, moderate memory",7,0.030254923793825623
"B: Moderate gen, moderate memory",8,0.0299620471681454
"B: Moderate gen, moderate memory",9,0.02952358151619954
"B: Moderate gen, moderate memory",10,0.02899082852143389
"B: Moderate gen, moderate memory",11,0.028376296633899293
"B: Moderate gen, moderate memory",12,0.02778617066532771
"B: Moderate gen, moderate memory",13,0.027206611257415147
"B: Moderate gen, moderate memory",14,0.02672546674482627
"B: Moderate gen, moderate memory",15,0.026308523570992594
"B: Moderate gen, moderate memory",16,0.02589929872924015
"B: Moderate gen, moderate memory",17,0.02556124281934288
"B: Moderate gen, moderate memory",18,0.025272304812808732
"B: Moderate gen, moderate memory",19,0.025059103645302495
"B: Moderate gen, moderate memory",20,0.02487038265630982
"B: Moderate gen, moderate memory",21,0.024660805647197366
"B: Moderate gen, moderate memory",22,0.024505239196638287
"B: Moderate gen, moderate memory",23,0.02436237157928014
"B: Moderate gen, moderate memory",24,0.024218758785880444
"B: Moderate gen, moderate memory",25,0.02409056077606705
"B: Moderate gen, moderate memory",26,0.023974608199477186
"B: Moderate gen, moderate memory",27,0.023854590711324303
"B: Moderate gen, moderate memory",28,0.023776473568049693
"B: Moderate gen, moderate memory",29,0.023690223340530166
